,batch,RNA_snn_res.1.3,n,num.cell,proportion
1,s1d1,0,237,4721,0.050201229
2,s1d1,1,215,4721,0.045541199
3,s1d1,10,62,4721,0.013132811
4,s1d1,11,379,4721,0.080279602
5,s1d1,12,14,4721,0.002965473
6,s1d1,13,167,4721,0.035373861
7,s1d1,14,28,4721,0.005930947
8,s1d1,15,5,4721,0.001059098
9,s1d1,2,580,4721,0.122855327
10,s1d1,3,640,4721,0.135564499
11,s1d1,4,1037,4721,0.219656852
12,s1d1,5,25,4721,0.005295488
13,s1d1,6,400,4721,0.084727812
14,s1d1,7,686,4721,0.145308197
15,s1d1,8,143,4721,0.030290193
16,s1d1,9,103,4721,0.021817412
17,s1d2,0,165,4464,0.036962366
18,s1d2,1,156,4464,0.034946237
19,s1d2,10,18,4464,0.004032258
20,s1d2,11,101,4464,0.022625448
21,s1d2,12,6,4464,0.001344086
22,s1d2,13,153,4464,0.034274194
23,s1d2,14,86,4464,0.019265233
24,s1d2,15,3,4464,0.000672043
25,s1d2,2,297,4464,0.066532258
26,s1d2,3,758,4464,0.169802867
27,s1d2,4,1412,4464,0.316308244
28,s1d2,5,18,4464,0.004032258
29,s1d2,6,696,4464,0.155913978
30,s1d2,7,264,4464,0.059139785
31,s1d2,8,249,4464,0.05577957
32,s1d2,9,82,4464,0.018369176
33,s1d3,0,127,5484,0.023158279
34,s1d3,1,155,5484,0.028264041
35,s1d3,10,103,5484,0.018781911
36,s1d3,11,337,5484,0.061451495
37,s1d3,12,17,5484,0.003099927
38,s1d3,13,336,5484,0.061269147
39,s1d3,14,35,5484,0.006382203
40,s1d3,15,7,5484,0.001276441
41,s1d3,2,933,5484,0.170131291
42,s1d3,3,410,5484,0.074762947
43,s1d3,4,1469,5484,0.267870168
44,s1d3,5,14,5484,0.002552881
45,s1d3,6,424,5484,0.077315828
46,s1d3,7,800,5484,0.14587892
47,s1d3,8,184,5484,0.033552152
48,s1d3,9,133,5484,0.024252371
49,s2d1,0,1044,9353,0.111621939
50,s2d1,1,1244,9353,0.133005453
51,s2d1,10,608,9353,0.06500588
52,s2d1,11,998,9353,0.106703731
53,s2d1,12,252,9353,0.026943227
54,s2d1,13,455,9353,0.048647493
55,s2d1,14,193,9353,0.02063509
56,s2d1,15,93,9353,0.009943334
57,s2d1,2,1491,9353,0.159414092
58,s2d1,3,304,9353,0.03250294
59,s2d1,4,305,9353,0.032609858
60,s2d1,5,514,9353,0.054955629
61,s2d1,6,412,9353,0.044050037
62,s2d1,7,317,9353,0.033892869
63,s2d1,8,509,9353,0.054421041
64,s2d1,9,614,9353,0.065647386
65,s2d4,0,279,5026,0.055511341
66,s2d4,1,247,5026,0.049144449
67,s2d4,10,57,5026,0.011341027
68,s2d4,11,467,5026,0.092916832
69,s2d4,12,33,5026,0.006565858
70,s2d4,13,146,5026,0.029048945
71,s2d4,14,180,5026,0.035813768
72,s2d4,15,8,5026,0.001591723
73,s2d4,2,417,5026,0.082968563
74,s2d4,3,854,5026,0.169916435
75,s2d4,4,627,5026,0.124751293
76,s2d4,5,28,5026,0.005571031
77,s2d4,6,683,5026,0.135893355
78,s2d4,7,638,5026,0.126939912
79,s2d4,8,167,5026,0.033227218
80,s2d4,9,195,5026,0.038798249
81,s2d5,0,978,8206,0.119181087
82,s2d5,1,1538,8206,0.187423836
83,s2d5,10,483,8206,0.058859371
84,s2d5,11,73,8206,0.00889593
85,s2d5,12,243,8206,0.029612479
86,s2d5,13,602,8206,0.073360955
87,s2d5,14,254,8206,0.030952961
88,s2d5,15,34,8206,0.00414331
89,s2d5,2,899,8206,0.109553985
90,s2d5,3,430,8206,0.052400682
91,s2d5,4,245,8206,0.029856203
92,s2d5,5,372,8206,0.045332683
93,s2d5,6,465,8206,0.056665854
94,s2d5,7,99,8206,0.012064343
95,s2d5,8,1077,8206,0.13124543
96,s2d5,9,414,8206,0.05045089
97,s3d1,0,111,8582,0.012934048
98,s3d1,1,99,8582,0.011535773
99,s3d1,10,1149,8582,0.133884875
100,s3d1,11,81,8582,0.009438359
101,s3d1,12,2054,8582,0.23933815
102,s3d1,13,30,8582,0.003495689
103,s3d1,14,28,8582,0.003262643
104,s3d1,15,540,8582,0.062922396
105,s3d1,2,21,8582,0.002446982
,,3,,,0
,,4,,,0
106,s3d1,5,3669,8582,0.427522722
107,s3d1,6,16,8582,0.001864367
108,s3d1,7,599,8582,0.06979725
109,s3d1,8,83,8582,0.009671405
110,s3d1,9,102,8582,0.011885341
111,s3d6,0,1216,9977,0.121880325
112,s3d6,1,1108,9977,0.111055427
113,s3d6,10,531,9977,0.053222412
114,s3d6,11,555,9977,0.055627944
115,s3d6,12,282,9977,0.02826501
116,s3d6,13,571,9977,0.057231633
117,s3d6,14,516,9977,0.051718954
118,s3d6,15,49,9977,0.004911296
119,s3d6,2,976,9977,0.097824997
120,s3d6,3,847,9977,0.084895259
121,s3d6,4,260,9977,0.026059938
122,s3d6,5,321,9977,0.032174
123,s3d6,6,650,9977,0.065149845
124,s3d6,7,279,9977,0.027964318
125,s3d6,8,865,9977,0.086699409
126,s3d6,9,951,9977,0.095319234
127,s3d7,0,2360,10362,0.22775526
128,s3d7,1,1590,10362,0.153445281
129,s3d7,10,309,10362,0.029820498
130,s3d7,11,259,10362,0.024995175
131,s3d7,12,204,10362,0.019687319
132,s3d7,13,496,10362,0.047867207
133,s3d7,14,414,10362,0.039953677
134,s3d7,15,20,10362,0.001930129
135,s3d7,2,606,10362,0.058482918
136,s3d7,3,1618,10362,0.156147462
137,s3d7,4,158,10362,0.015248022
138,s3d7,5,299,10362,0.028855433
139,s3d7,6,460,10362,0.044392974
140,s3d7,7,279,10362,0.026925304
141,s3d7,8,586,10362,0.056552789
142,s3d7,9,704,10362,0.067940552
143,s4d1,0,9,334,0.026946108
144,s4d1,1,1,334,0.002994012
145,s4d1,10,2,334,0.005988024
146,s4d1,11,18,334,0.053892216
147,s4d1,12,2,334,0.005988024
148,s4d1,13,15,334,0.04491018
149,s4d1,14,7,334,0.020958084
150,s4d1,15,1,334,0.002994012
151,s4d1,2,30,334,0.089820359
152,s4d1,3,34,334,0.101796407
153,s4d1,4,122,334,0.365269461
154,s4d1,5,1,334,0.002994012
155,s4d1,6,38,334,0.113772455
156,s4d1,7,19,334,0.056886228
157,s4d1,8,25,334,0.074850299
158,s4d1,9,10,334,0.02994012
159,s4d8,0,1,207,0.004830918
160,s4d8,1,6,207,0.028985507
161,s4d8,11,12,207,0.057971014
,,12,,,0
162,s4d8,13,10,207,0.048309179
163,s4d8,14,2,207,0.009661836
164,s4d8,2,13,207,0.062801932
165,s4d8,3,31,207,0.149758454
166,s4d8,4,78,207,0.376811594
,,5,,,0
167,s4d8,6,25,207,0.120772947
168,s4d8,7,5,207,0.024154589
169,s4d8,8,16,207,0.077294686
170,s4d8,9,8,207,0.038647343
171,s4d9,0,8,459,0.017429194
172,s4d9,1,2,459,0.004357298
173,s4d9,10,8,459,0.017429194
174,s4d9,11,19,459,0.041394336
175,s4d9,12,1,459,0.002178649
176,s4d9,13,14,459,0.030501089
177,s4d9,14,8,459,0.017429194
178,s4d9,15,1,459,0.002178649
179,s4d9,2,57,459,0.124183007
180,s4d9,3,36,459,0.078431373
181,s4d9,4,133,459,0.289760349
,,5,,,0
182,s4d9,6,96,459,0.209150327
183,s4d9,7,14,459,0.030501089
184,s4d9,8,31,459,0.067538126
185,s4d9,9,31,459,0.067538126
